Men,Release year
Pinocchio,1940
Sanctum,2011
Dirty Dancing,1987
CODA,2021
The Lovely Bones,2009
Hellraiser,2022
The Pursuit of Happyness,2006
The Revenant,2015
Clueless,1995
Strange World,2022
Cloudy with a Chance of Meatballs,2009
Leave No Trace,2018
The Adam Project,2022
The Foreigner,2017
Aftersun,2022
The Lego Ninjago Movie,2017
Tinker Bell and the Great Fairy Rescue,2010
Guillermo del Toro's Pinocchio,2022
Hulk,2003
The Mitchells vs. the Machines,2021
Commando,1985
The Father,2020
Happy Feet,2006
Liar Liar,1997
Boyhood,2014
Stillwater,2021
Homefront,2013
The Road,2009
"Paris, Texas",1984
The Lego Movie,2014
The Day After Tomorrow,2004
Live Free or Die Hard,2007
The Art of Racing in the Rain,2019
Mr. Peabody & Sherman,2014
Looney Tunes: Back in Action,2003
Epic,2013
Secret Headquarters,2022
Footloose,1984
Radio,2003
King Richard,2021
Warrior,2011
Legends of the Fall,1994
Hook,1991
Borat Subsequent Moviefilm,2020
Happy Feet Two,2011
Hop,2011
The Wolfman,2010
Teenage Mutant Ninja Turtles,1990
The Wild,2006
The Great Mouse Detective,1986
Sweet Girl,2021
A Beautiful Day in the Neighborhood,2019
Casper,1995
Austin Powers in Goldmember,2002
Over the Top,1987
After Earth,2013
That's My Boy,2012
Big Fish,2003
Alexander,2004
Elf,2003
Big Daddy,1999
Beautiful Boy,2018
Friday the 13th Part VI: Jason Lives,1986
Sky High,2005
Ooops! Noah Is Gone...,2015
The Game Plan,2007
Atlantis: The Lost Empire,2001
Wolfwalkers,2020
Road to Perdition,2002
Trainwreck,2015
Run All Night,2015
High School Musical,2006
Crawl,2019
Aladdin and the King of Thieves,1996
Footloose,2011
St. Vincent,2014
Steve Jobs,2015
Jingle All the Way,1996
Astro Boy,2009
The Many Saints of Newark,2021
Barnyard,2006
Fatherhood,2021
"Definitely, Maybe",2008
Maggie,2015
The Kings of Summer,2013
What a Girl Wants,2003
The Boondock Saints,1999
MaXXXine,2024
Problem Child,1990
The Starling Girl,2023
Bambi II,2006
An Extremely Goofy Movie,2000
100% Wolf,2020
I Still Know What You Did Last Summer,1998
Midnight Special,2016
A Goofy Movie,1995
Leprechaun,1993
Billy Elliot,2000
Boy Erased,2018
Bigfoot Family,2020
Absolute Power,1997
Free Willy 3: The Rescue,1997
The Santa Clause,1994
Arthur Christmas,2011
Escape from Planet Earth,2013
Kramer vs. Kramer,1979
Shaft,2019
A River Runs Through It,1992
The Tree of Life,2011
Why Him?,2016
Jack Frost,1998
Whitney Houston: I Wanna Dance with Somebody,2022
Eileen,2023
The Son of Bigfoot,2017
Monster's Ball,2001
Underdog,2007
Minari,2021
Fiddler on the Roof,1971
Made in Italy,2020
Ad Astra,2019
The Wrestler,2008
Osmosis Jones,2001
Billy Madison,1995
The Wild Thornberrys Movie,2002
Joe Bell,2020
Fences,2016
Gaia,2021
The Descendants,2011
Balto II: Wolf Quest,2002
About My Father,2023
Saving Mr. Banks,2013
Father of the Bride,1991
Problem Child 2,1991
Dan in Real Life,2007
Waves,2019
Tommy Boy,1995
The Cutting Edge: Going for the Gold,2006
Fathers and Daughters,2015
October Sky,1999
Fly Away Home,1996
Jumanji,1995
Lorenzo's Oil,1992
Imagine That,2009
Dashing Through the Snow,2023
He Got Game,1998
Father of the Bride,2022
The Crow: Salvation,2000
About Schmidt,2002
Ransom,1996
Son of Batman,2014
Casper: A Spirited Beginning,1997
We Own the Night,2007
Khumba,2013
Shine,1996
North Country,2005
The Man in the Moon,1991
Before and After,1996
The Squid and the Whale,2005
Hanna,2011
A Little Princess,1995
Light of My Life,2019
The Nightmare Before Christmas,1993
Three Thousand Years of Longing,2022
Monty Python and the Holy Grail,1975
Marie Antoinette,2006
The Tragedy of Macbeth,2021
The Fall,2006
The King and I,1956
The Super Mario Bros. Movie,2023
It,2017
Big Hero 6,2014
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023
Logan Lucky,2017
Teenage Mutant Ninja Turtles,2014
It Chapter Two,2019
Despicable Me 3,2017
Thor,2011
Troy,2004
Geostorm,2017
Brother Bear,2003
Teenage Mutant Ninja Turtles: Out of the Shadows,2016
Austin Powers: The Spy Who Shagged Me,1999
The Blues Brothers,1980
American History X,1998
The Prince of Egypt,1998
F9,2021
Ambulance,2022
Slumdog Millionaire,2008
The Accountant,2016
The Lost Boys,1987
Green Lantern,2011
The Spiderwick Chronicles,2008
Onward,2020
Tombstone,1993
I Spit on Your Grave 2,2013
Double Impact,1991
Brother Bear 2,2006
What's Eating Gilbert Grape,1993
Teenage Mutant Ninja Turtles III,1993
House of Wax,2005
Rain Man,1988
Lion,2016
Legend,2015
Diary of a Wimpy Kid: Rodrick Rules,2011
TMNT,2007
Sex Drive,2008
Super Mario Bros.,1993
Hell or High Water,2016
The Game,1997
The Man in the Iron Mask,1998
Twins,1988
Little Nicky,2000
Step Brothers,2008
The Brothers Grimm,2005
Grimsby,2016
Four Brothers,2005
Kickboxer,1989
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
Joy Ride,2001
Black Mass,2015
Austin Powers: International Man of Mystery,1997
Mike and Dave Need Wedding Dates,2016
Splash,1984
The Assassination of Jesse James by the Coward Robert Ford,2007
Fred Claus,2007
We Bare Bears: The Movie,2020
Backdraft,1991
The Breed,2006
Out of the Furnace,2013
The Boss Baby,2017
Lars and the Real Girl,2007
East of Eden,1955
A Simple Plan,1998
Good Time,2017
Get Carter,2000
The Sisters Brothers,2018
Foxcatcher,2014
The Fighter,2010
3 Ninjas,1992
Little Monsters,1989
Wyatt Earp,1994
The Rugrats Movie,1998
God's Not Dead: A Light in Darkness,2018
Goodnight Mommy,2022
American Outlaws,2001
3 Ninjas Kick Back,1994
Rumble Fish,1983
Stoker,2013
13 Sins,2014
3 Ninjas Knuckle Up,1995
3 Ninjas: High Noon at Mega Mountain,1998
The Long Riders,1980
Seven Brides for Seven Brothers,1954
Raymond & Ray,2022
The Fabulous Baker Boys,1989
Into the Grizzly Maze,2015
American Heist,2014
Stuck on You,2003
Father Figures,2017
Used Cars,1980
Charlie St. Cloud,2010
The Good Lie,2014
Blood Ties,2013
The Barbarians,1987
