Asian,Release year
Men in Black 3,2012
Hot Chili,1985
The Grudge,2019
Scott Pilgrim vs. the World,2010
Signs,2002
Fantastic Four: Rise of the Silver Surfer,2007
Face/Off,1997
King Kong Lives,1986
Okja,2017
1917,2019
Don Jon,2013
Lara Croft: Tomb Raider,2001
The Transporter Refueled,2015
Assassin's Creed,2016
Cliffhanger,1993
Pride and Prejudice and Zombies,2016
The Mountain Between Us,2017
Self/less,2015
Old,2021
A Dog's Purpose,2017
Spider-Man 2,2004
Enter the Dragon,1973
A Time to Kill,1996
Crazy Rich Asians,2018
Cloverfield,2008
Mortal Kombat,1995
The Last Emperor,1987
It Lives Inside,2023
Teenage Mutant Ninja Turtles III,1993
Conan the Barbarian,2011
Finch,2021
Elektra,2005
Bloodsport,1988
Golda,2023
Escape Plan 2: Hades,2018
The House with a Clock in Its Walls,2018
Oldboy,2013
The Nut Job 2: Nutty by Nature,2017
Cobra,1986
Broken Arrow,1996
Papillon,2017
Child's Play,2019
Children of Men,2006
Lion,2016
The Happening,2008
TMNT,2007
August Rush,2007
Under Siege,1992
Red Heat,1988
A Beautiful Day in the Neighborhood,2019
Father Stu,2022
Missing,2023
Over the Top,1987
The Deer Hunter,1978
After Earth,2013
Mowgli: Legend of the Jungle,2018
Harold & Kumar Escape from Guantanamo Bay,2008
Malignant,2021
Big Fish,2003
Replicas,2018
Triangle of Sadness,2022
L.A. Confidential,1997
Snitch,2013
Under Siege 2: Dark Territory,1995
A Most Violent Year,2014
Big Trouble in Little China,1986
M*A*S*H,1970
The Return of Jafar,1994
Superman IV: The Quest for Peace,1987
Romeo Must Die,2000
The Boy,2016
Polite Society,2023
Universal Soldier,1992
A Dog's Journey,2019
Ben-Hur,2016
Nomadland,2021
Amsterdam,2022
Widows,2018
Secret in Their Eyes,2015
Escape to Victory,1981
Office Christmas Party,2016
Aladdin and the King of Thieves,1996
Unfriended: Dark Web,2018
Over the Moon,2020
Jerry Maguire,1996
Acts of Vengeance,2017
Seven Years in Tibet,1997
Shanghai Knights,2003
The Edge of Seventeen,2016
A Dog's Way Home,2019
Brokedown Palace,1999
Joy Ride,2023
The Grudge,2004
Night at the Museum: Kahmunrah Rises Again,2022
Duck Duck Goose,2018
The Lord of the Rings,1978
Starship Troopers: Invasion,2012
Around the World in 80 Days,2004
A Cure for Wellness,2017
"Roman J. Israel, Esq.",2017
The Space Between Us,2017
To All the Boys: P.S. I Still Love You,2020
We Were Soldiers,2002
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016
Astro Boy,2009
The Darkest Hour,2011
The Transformers: The Movie,1986
The Animatrix,2003
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
The Pledge,2001
The Texas Chainsaw Massacre 2,1986
Hardcore Henry,2015
Before I Go to Sleep,2014
The Visit,2015
Bridget Jones: The Edge of Reason,2004
Final Fantasy: The Spirits Within,2001
The Negotiator,1998
Watcher,2022
Harold & Kumar Go to White Castle,2004
Bridge of Spies,2015
The Fountain,2006
Last Knights,2015
Dragon: The Bruce Lee Story,1993
Fire and Ice,1983
Entrapment,1999
The Boondock Saints,1999
Marie Antoinette,2006
Jacob's Ladder,1990
The Village,2004
Skiptrace,2016
Basic Instinct 2,2006
The Last Stand,2013
Cyborg,1989
The King of Comedy,1982
The Protégé,2021
The Secret Garden,1993
Showdown in Little Tokyo,1991
The Changeling,1980
Letters from Iwo Jima,2006
Maid in Manhattan,2002
An Extremely Goofy Movie,2000
Bad Moms,2016
Pan,2015
Rescue Dawn,2006
The Medallion,2003
Ghost Dog: The Way of the Samurai,1999
Runaway Jury,2003
The Doorman,2020
Mirrors,2008
Lifeforce,1985
Broken City,2013
Twilight Zone: The Movie,1983
Death Wish 3,1985
Ultraviolet,2006
The Delta Force,1986
Driven,2001
The World's End,2013
My Super Ex-Girlfriend,2006
The Grudge 2,2006
Spanglish,2004
99 Homes,2015
Empire of the Sun,1987
Death Sentence,2007
The Whole Ten Yards,2004
Mighty Morphin Power Rangers: The Movie,1995
The Legend of Hercules,2014
Cube Zero,2004
The Nut Job,2014
Sorcerer,1977
Major Payne,1995
The Crazies,2010
The Doors,1991
Shanghai Noon,2000
Masters of the Universe,1987
Nine Lives,2016
Billy Lynn's Long Halftime Walk,2016
Triple Threat,2019
Pooh's Grand Adventure: The Search for Christopher Robin,1997
The Wicker Man,2006
Hard Rain,1998
Death Wish II,1982
Lincoln,2012
Runaway Train,1985
Shutter,2008
Monte Carlo,2011
211,2018
Brazil,1985
Turbo: A Power Rangers Movie,1997
Gandhi,1982
Cool World,1992
Day of the Dead,2008
3000 Miles to Graceland,2001
Just My Luck,2006
A Simple Plan,1998
Fright Night,2011
The Remains of the Day,1993
Stay,2005
The Way Back,2010
Searching,2018
Hotel Mumbai,2019
Day of the Dead: Bloodline,2017
Get Carter,2000
Ninja,2009
I Spy,2002
The Kite Runner,2007
The Bye Bye Man,2017
The Midnight Meat Train,2008
Batman: Gotham Knight,2008
Dangerous Beauty,1998
Walking with Dinosaurs,2013
Allan Quatermain and the Lost City of Gold,1986
The Outsider,2018
A Prayer Before Dawn,2018
The Client,1994
The Iceman,2012
The Fall,2006
A Very Harold & Kumar Christmas,2011
Chaplin,1992
Vampire Academy,2014
The Black Dahlia,2006
Apollo 18,2011
Bratz,2007
A Tourist's Guide to Love,2023
Killing Me Softly,2002
The Young Messiah,2016
The Witcher: Nightmare of the Wolf,2021
Wendy Wu: Homecoming Warrior,2006
Delivery Man,2013
Skin Trade,2014
Cube 2: Hypercube,2002
Ad Astra,2019
The Lake House,2006
Come Play,2020
The Message,1976
21 & Over,2013
High Crimes,2002
Good People,2014
Man of Tai Chi,2013
The Crying Game,1992
Appointment with Death,1988
Life or Something Like It,2002
The Voices,2014
Animal Crackers,2017
Life of Crime,2013
Radioactive,2020
American Ninja,1985
Tristan & Isolde,2006
Private Valentine: Blonde & Dangerous,2008
Empire Records,1995
Ninja: Shadow of a Tear,2013
Tora! Tora! Tora!,1970
Starship Troopers: Traitor of Mars,2017
The Manchurian Candidate,1962
Firewalker,1986
Stealth,2005
The Big Sick,2017
Little Manhattan,2005
Stoker,2013
The Current War,2018
Braddock: Missing in Action III,1988
Sommersby,1993
Only God Forgives,2013
Bride of Re-Animator,1990
Transformers,2007
Thank You for Your Service,2017
The Bling Ring,2013
Mystery Train,1989
Snow Flower and the Secret Fan,2011
The Bad Batch,2017
Birth of the Dragon,2017
Don't Say a Word,2001
American Ninja 2: The Confrontation,1987
The Second Best Exotic Marigold Hotel,2015
"No Retreat, No Surrender",1986
The Paperboy,2012
3 Ninjas Knuckle Up,1995
Murder at 1600,1997
Dante's Inferno: An Animated Epic,2010
Deck the Halls,2006
Edge of the World,2021
Half Past Dead,2002
Furry Vengeance,2010
Seeking Justice,2011
The Half of It,2020
The Year of Living Dangerously,1982
Promised Land,2012
The Farewell,2019
Unfriended,2014
The Red Sea Diving Resort,2019
Colossal,2017
Ratchet & Clank,2016
Captain America,1990
Paycheck,2003
Riding in Cars with Boys,2001
The Magnificent Seven Ride!,1972
The Double,2011
Black Knight,2001
Striking Distance,1993
The Painted Veil,2006
Hesher,2010
One Missed Call,2008
L.A. Story,1991
Unfriend,2016
Spy Game,2001
The Hills Run Red,2009
Captivity,2007
The Warrior's Way,2010
People Like Us,2012
Boys on the Side,1995
The War of the Roses,1989
Lion of the Desert,1981
Million Dollar Arm,2014
All I See Is You,2017
The Foreigner,2003
The Good Lie,2014
The Other Side of the Door,2016
Angel Eyes,2001
Blindness,2008
Superman: Red Son,2020
Flight 7500,2014
The Barbarians,1987
A Little Princess,1995
The Man Who Would Be King,1975
The Hundred-Foot Journey,2014
Meg 2: The Trench,2023
The Hangover,2009
Rush Hour 2,2001
Rush Hour 3,2007
The Meg,2018
Blade Runner,1982
The Hangover Part II,2011
Bride of Chucky,1998
The Hangover Part III,2013
Crank,2006
Freddy vs. Jason,2003
Puss in Boots: The Three Diablos,2012
Double Impact,1991
The Transporter,2002
Teenage Mutant Ninja Turtles,1990
Pineapple Express,2008
Maximum Risk,1996
DOA: Dead or Alive,2006
Cannonball Run II,1984
The Prodigy,2019
Cradle 2 the Grave,2003
Double Team,1997
The Cannonball Run,1981
Replicant,2001
From Paris with Love,2010
In Hell,2003
Revolver,2005
The Replacement Killers,1998
The 51st State,2001
Mr. Magoo,1997
The Marvels,2023
Past Lives,2023
The Darkest Minds,2018
Mulan II,2004
To All the Boys I've Loved Before,2018
Umma,2022
Gran Torino,2008
The Green Hornet,2011
The Grudge 3,2009
The Forest,2016
Dark Water,2005
Quiz Lady,2023
Minari,2021
Chang Can Dunk,2023
Best of the Best,1989
The Great Raid,2005
Columbus,2017
