Identity category,Sub_identity,Terms
Non-White,african,"['Afro engineering', 'African engineering', 'Bluegum', 'Rastus', 'nigger rigging', 'Banaan', 'Bimbo', 'Bootlip', 'Buckra', 'Bakra', 'Ciapaty', 'ciapak', 'Cotton picker', 'Engelsman', 'Golliwog', 'Kalia', 'Kalu', 'Kallu', 'Japie', 'yarpie', 'Jareer', 'thief', 'Mabuno', 'Mahbuno', 'Macaca', 'Monkey', 'Nigger', 'neeger', 'Pickaninny', 'Sambo', 'Schvartse', 'Schwartze', 'Spearchucker', 'Tumba-Yumba']"
Non-White,african american,"['Japie', 'Bimbo', 'Buckra', 'Mabuno', 'Schwartze', 'yarpie', 'Cotton picker', 'Sambo', 'Golliwog', 'Monkey', 'Tumba-Yumba', 'Mahbuno', 'Macaca', 'Bakra', 'Spearchucker', 'Afro engineering', 'African engineering', 'Schvartse', 'Nigger', 'neeger', 'Banaan', 'Ciapaty', 'Kalu', 'Bluegum', 'Kalia', 'Rastus', 'Jareer', 'Engelsman', 'Pickaninny', 'ciapak', 'Kallu', 'Bootlip', 'nigger rigging']"
White,white,"['Redneck', 'gringo', 'Squaw', 'yt', 'ypipo', 'wypipo', 'Ann', 'Jap', 'Lubra', 'cooter', 'Sarong Party Girl', 'Buckra', 'Bakra', 'Bule', 'Kano', 'Redneck', 'Cracker', 'Gin jockey', 'Gub', 'Gubba', 'Gwer', 'Honky', 'honkey', 'honkie', 'Londo', 'Mayonnaise Monkey', 'Mzungu', 'Ofay', 'Palagi', 'Paleface', 'Pink pig', 'Redleg', 'Snowflake', 'White ears', 'White interloper', 'Whitey', 'Engelsman', 'Farang khi nok', 'White trash', 'Gweilo', 'gwailo', 'kwai lo', 'Half-caste', 'Haole', 'Japie', 'yarpie', 'Mabuno', 'Mahbuno', 'Peckerwood', 'Roundeye', 'Soutpiel', 'ang mo', 'baizuo', 'buckra', 'cracker', 'gammon', 'goombah', 'guido', 'hillbilly', 'honky', 'hoser', 'japie', 'mat salleh', 'mister charlie', 'ocker', 'ofay', 'peckerwood', 'polaco', 'redneck', 'rhodie', 'wasichu', 'white nigger', 'white trash', 'whitey', 'bulgarophiles', 'cheese-eating surrender monkeys', 'crachach', 'culchie', 'dic siôn dafydd', 'eurotrash', 'fenian', 'gachupín', 'les goddams', 'goombah', 'gweilo', 'janner', 'kartoffel', 'katsap', 'khokhol', 'kraut', 'laukkuryssä', 'limey', 'maketo', 'mick', 'moskal', 'nigel', 'orc', 'oseledets', 'polack', 'polaco', 'polentone', 'ryssä', 'schwabenhass', 'serbomans', 'sheep shagger', 'terrone', 'teuchter', 'tibla', 'ukrop', 'west brit', 'wigger', 'wop', 'xarnego', 'yestonians', 'karen', 'miss ann', 'trixie']"
White,european,"['Ang mo', 'Chuchmek', 'Greaseball', 'Greaser', 'Honky', 'honkey', 'honkie', 'Hunky', 'Hunk', 'Mabuno', 'Mahbuno', 'Twinkie', 'Wog']"
Non-White,latino,"['Beaney', 'Beaner']"
Non-White,hispanic,"['Beaney', 'Beaner', 'Greaseball', 'Greaser', 'Spic', 'spick', 'spik', 'spig', 'spigotty']"
Non-White,mexican,"['Beaney', 'Spic', 'spig', 'Beaner', 'spick', 'spigotty', 'Greaseball', 'spik', 'Greaser']"
Non-White,asian,"['ABCD', 'Ah Chah', 'Fidschi', 'Niakoué', 'Brownie', 'Buddhahead', 'Chonky', 'Coolie', 'Pancake Face', 'Pancake', 'Uzkoglazyj', 'Yellow', 'Zip', 'Zipperhead', 'Chee-chee', 'Chi-chi', 'Chuchmek', 'Churka', 'Ciapaty', 'ciapak', 'Coconut', 'Curry-muncher', 'Dink', 'Gaijin', 'Laowai', 'Gook', 'Gook-eye', 'Gooky', 'Grago', 'Gragok', 'Kalbit', 'Pastel de flango', 'Slant', 'Paki', 'Pakkis', 'Roundeye', 'Sarong Party Girl', 'Sideways vagina', 'pussy', 'cooter', 'slopehead', 'slopy', 'slopey', 'sloper', 'Ting tong', 'Twinkie']"
Non-White,indian,"['slopehead', 'Niakoué', 'Fidschi', 'Churka', 'Chuchmek', 'Pancake Face', 'Slant', 'Chi-chi', 'Buddhahead', 'Zip', 'Laowai', 'Coolie', 'Gook-eye', 'Sarong Party Girl', 'Pastel de flango', 'ABCD', 'Roundeye', 'slopey', 'Ciapaty', 'Grago', 'Gook', 'Ting tong', 'Curry-muncher', 'Dink', 'Pakkis', 'Brownie', 'sloper', 'Uzkoglazyj', 'slopy', 'Chee-chee', 'Gaijin', 'Gragok', 'Paki', 'Zipperhead', 'Chonky', 'Gooky', 'Ah Chah', 'ciapak', 'Kalbit', 'cooter', 'Pancake', 'Chinky', 'Dal Kh', 'Dhoti', 'Keling', 'Pajeet', 'Vrindavan', 'Prindapan', 'Ikula', 'Momo', 'Momos', 'Raghead', 'Ramasamy']"
Non-White,chinese,"['ABC', 'Asing', 'Aseng', 'Canaca', 'eano', 'Chank', 'Chinaman', 'Ching chong', 'Chink', 'Chow', 'Cina', 'Cokin', 'Hujaa', 'Jjangkkae', 'Khá»±a', 'Maruta', 'Shina', 'Zhina', 'Type C', 'Xing Ling', 'Tsekwa', 'Chekwa', 'Intsik', 'Coolie', 'Fankui', 'fan-kui', 'fangui', 'gui-zi', 'guizi', 'gui', 'Guizi', 'Huan-a', 'Huana', 'Kitayoza', 'Pastel de flango', 'Skævøjet', 'Slant', 'Locust', 'Non-Pri', 'Non-Pribumi', 'cooter', 'slopehead', 'slopy', 'slopey', 'sloper', 'Ting tong', 'Toku-A']"
Non-White,japanese,"['Canaca', 'eano', 'Japa', 'Jap', 'Jjokbari', 'Nip', 'Yaposhka']"
Christian,catholic,"['dogun', 'Fenian', 'Dogan', 'Left-footer', 'Fenian', 'Mackerel Snapper', 'Mick', 'papist', 'Red letter tribe', 'Romanist', 'Shaveling', 'taig']"
Christian,protestant,"['Hun', 'Prod', 'Campbellite', 'Holy Roller', 'jaffa', 'Proddy', 'Orangie', 'Russellite', 'Shaker', 'Soup-taker']"
Christian,christian,"['Goy', 'Goyim', 'Goyum', 'Chuhra', 'Fundie', 'Isai', 'Saai', 'Jacobite']"
LGBT-related,LGBT-related,"['twunk', 'aroace', 'asexy', 'cisbian', 'cisqueer', 'transgenderism', 'tme', 'skoliosexual', 'malefail', 'girldick', 'dickgirl', 'pussyboy', 'troon', 'tranny', 'tryke', 'transfag', 'transbian', 'tranarchist', 't-guy', 't-boy', 't-girl', 'sapatrava', 'sapatrans', 'M2B', 'kathoey', 'lady boy', 'girlmoder', 'enbian', 'enby', 'diamoric', 'boymoder', 'futanari', 'Salmacian', 'altersex', 'hermie', 'ambisextrous', 'Horatian', 'byke', 'sapatão', 'pillow princess', 'muff-diver', 'pussy puncher', 'kitty puncher', 'hasbian', 'gouine', 'dykon', 'dyke', 'butch', 'bull dyke', 'boydyke', 'bean flicker', 'baby butch', 'baby dyke', 'viado', 'veado', 'homo', 'fudge packer', 'flamer', 'finocchio', 'batty boy', 'tongzhi', 'tomgirl', 'scissoring', 'sapphic', 'homoflexible', 'lesboy', 'guydyke', 'gouinage', 'gaymer', 'girlfag', 'gaysian', 'gaymer', 'gaydar', 'futch', 'folx', 'femme', 'femboy', 'cottaging', 'butchy femme', 'Poof', 'beach bitch', 'bussy', 'butch queen', 'Homintern', 'Queer', 'Sea queen', 'Fag', 'Dyke', 'Poofter', 'Chickenhawk', 'Fag bomb', 'Cuntboy', 'Degenerate', 'Groomer', 'Gayrope', 'Batty boy', 'Sissy', 'Shemale', 'Lesbo', 'Twink', 'Cocksucker', 'Fudgepacker', 'Fairy', 'Faggot', 'Tranny', 'Khanith']"
Straight,Straight,"['heteroflexible', 'breeder', 'fag hag', 'fag stag']"
