show_name,episode_title,genres,age_rating,release_date,tags
Petticoat Junction,Kate Flat on Her Back,[],TV-G,Release date,[]
Petticoat Junction,The Genghis Keane Story,[],TV-G,Release date,"['reference to genghis khan', 'reference to green acres']"
Anger Management,Charlie Goes Back to Therapy,[],TV-14,Release date,"['adultery', 'bed', 'boxer shorts', 'kiss', 'gay character', 'male bonding', 'sex scene', 'therapy', 'underwear', 'undressing', 'vandalism', 'nightclub', 'man carries a woman', 'woman wears a see through blouse', 'woman wears black lingerie', 'box of condoms', 'reference to abraham lincoln', 'pretzel', 'prison', 'bare chested male', 'baseball game', 'pile of clothes', 'collection jar', 'dollar bill', 'ocd']"
Anger Management,Charlie and the Slumpbuster,[],TV-14,Release date,"['dinner', 'sabotage', 'undressing', 'underwear', 'baseball', 'woman flashing a man', 'spaghetti dinner']"
Anger Management,Charlie Tries Sleep Deprivation,[],TV-14,Release date,"['man carries a woman', 'woman wears a miniskirt', 'bed', 'gay character', 'scolding', 'therapy', 'overalls', 'euphemism', 'slapped in the face', 'pizza', 'mistaken for a lesbian', 'pool table']"
Anger Management,Charlie and Kate Battle Over a Patient,[],TV-14,Release date,"['competition', 'bare chested male', 'embarrassment', 'prison', 'therapy', 'sex scene', 'undressing', 'woman wears black lingerie', 'changing therapists', 'ketchup bottle', 'school club', 'dropping trousers']"
Anger Management,Charlie Tries to Prove Therapy Is Legit,[],TV-14,Release date,"['woman wears a red dress', 'boxer shorts', 'bare chested male', 'bed', 'gay character', 'therapy', 'underwear', 'ritual', 'nightmare', 'ghost']"
Anger Management,Charlie Dates Kate's Patient,[],TV-14,Release date,"['woman wears black lingerie', 'woman wears red lingerie', 'coffee shop', 'sleeping on a sofa', 'reference to mad max', 'thesis', 'shadow puppet', 'desk top zen garden', 'obscene finger gesture', 'finger splint', 'broken finger', 'reference to the village people', 'reference to mel gibson']"
Anger Management,Charlie's Patient Gets Out of Jail,[],TV-14,Release date,"['woman wrapped in a towel', 'bed', 'prison', 'therapy', 'chore', 'wager', 'bare chested male', 'early prison release', 'breaking a chair', 'prison group therapy']"
Anger Management,Charlie Outs a Patient,[],TV-14,Release date,"['abuse', 'bare chested male', 'beating', 'gay character', 'fight', 'scolding', 'therapy', 'loyalty', 'flushing the toilet while someone is in the shower', 'woman sits on a toilet', 'flavored condom', 'male in a shower']"
Anger Management,Charlie's Dad Visits,[],TV-14,Release date,"['woman wears lingerie', 'competition', 'abuse', 'drinking', 'dog', 'in laws', 'father son relationship', 'male bonding', 'therapy', 'scolding', 'vandalism', 'father kisses his son on his cheek', 'road rage', 'caught in a lie', 'james cagney impression', 'marlon brando impression', 'traffic jam', 'reference to judge judy', 'hyperventilating', 'probation', 'gripe session']"
Anger Management,Charlie Gets Romantic,[],TV-14,Release date,"['woman wears a miniskirt', 'woman wrapped in a bedsheet', 'bed', 'kiss', 'jealousy', 'gay character', 'prison', 'therapy', 'contraband', 'scolding', 'sex scene', 'sexually aroused by a kiss', 'passionate kiss', 'prison group therapy', 'trashed house', 'reference to janet leigh', 'reference to anthony perkins', 'reference to adam sandler', 'reference to thomas leo mccarey', 'reference to charles laughton', 'bare chested male', 'sex on the floor']"
Outlander,Sassenach,[],TV-MA,Release date,"['female star appears nude', 'second honeymoon', 'attempted rape', 'time travel', 'flashback', 'scenic beauty', 'jeep', 've day', 'scotland', 'general store', 'leg wound', 'spurting blood', 'field surgery', 'soldiers hugging', 'british flag', 'narrated by lead character', 'voice over narration', 'falkland scotland', 'female doctor', 'thunderstorm', 'signing hotel register', 'samhain', 'jumping on a bed', 'squeaky bed', 'cocknammon rock', 'doune castle', 'exploring ruins', 'palm reading', 'cunnilingus', 'archival document', 'oolong tea', ""reference to jonathan 'black jack' randall"", 'reading tea leaves', 'walking in the rain with an umbrella', 'cowgirl sex position', 'missionary sex position', 'bare chested male', 'standing stone', 'celtic sunrise ceremony', 'tree stump', 'aster flower', 'lying on the ground', 'trip and fall', 'rolling down a hill', 'flintlock pistol', 'flintlock rifle', 'sword held to neck', ""spitting in someone's face"", 'hit on the head', 'highland folk museum']"
Outlander,Castle Leoch,[],TV-MA,Release date,"['clothes ripping', 'female topless nudity', 'public nudity', 'rape', 'female star appears nude', 'female nudity', 'female rear nudity', 'doune castle', 'flogging scar', 'marching soldiers', 'pitching straw', 'knocked unconscious', 'woman undresses', 'woman changes clothes', 'year 1743', 'bird in a cage', 'flashback', 'reference to king george ii', 'pipe smoking', 'interrogation', 'porridge', 'tailing a suspect', 'flock of sheep', 'bumping head', 'picking wild mushrooms', 'playing bagpipes', 'repeated scene from a previous episode', 'pyknodysostosis', 'spitting blood', 'whispering', 'woman wears a bra', 'laird', 'whip', 'torture', 'slapped in the face', 'punishment', 'public humiliation', 'abuse', 'corporal punishment', 'boy', 'bare chested male', 'beating', 'herbology', 'authentic costume', 'bra removing', 'white bra', 'herbalist', 'mushrooms', 'herbs', 'healing']"
Outlander,The Way Out,[],TV-MA,Release date,"['apothicary bottle', 'passenger train', 'bathing in a bucket', 'slapped in the face', 'handful of bugs', 'playing harp', 'male singer', 'playing a recorder', ""close up of a man's bare butt"", 'thistle', 'strapped to a bed', 'doune castle', 'community dinner', 'candelabra', 'peppermint', 'flirting', 'nail through ear', 'retort', 'pillory', 'port wine', 'cemetery', 'belladonna', 'reciting poetry', 'boy', 'exorcism', 'healer', 'massage', 'poisonous plant', 'ear lobe nailed to wood', 'nailing', 'sick child', 'saving a life', 'reference to the devil', 'catholic priest', 'poisoning', 'lily of the valley', 'thief', 'public humiliation', 'rear nudity', 'corporal punishment']"
Outlander,The Gathering,[],TV-MA,Release date,"['attempted rape', 'stomach wound', 'hunting', 'looking up kilt', 'running through the woods', 'lookout', 'drawing lots', 'pledging featy', 'drinking liquor from a bottle', 'port wine', 'gargling with wine', 'kneed in the groin', 'slapped in the face', 'hit on the head', 'bare chested male', 'falling off a horse', 'leg wound', 'bleeding out', 'belly wound', 'gored by a boar', 'full contact field hockey', 'chugging', 'wine', 'escape plan', 'bagpipes', 'field hockey', 'wild boar hunt', 'ceremony', 'cameo', 'gathering', 'castle', 'boar', 'pledge', 'oath of allegiance', 'reference to jesus christ', 'drugged drink', 'knocked unconscious', 'attempted escape', 'killed by an animal', 'death scene', 'episode title spoken by character', 'injury', 'hockey', 'flashback', 'bandage', 'bleeding to death', 'herbs', 'drunkenness', 'oath', 'loyalty']"
Outlander,Rent,[],TV-MA,Release date,"['reciting a john donne poem', 'tent', 'gypsum weed', 'horseback riding', 'telling a dirty joke', 'piglet', 'singing while working', 'scarred back', 'flogging scar', 'black pudding', 'extortion', 'reference to king james ii', 'reference to the jacobites', 'fundraising', 'reference to battle of culloden', 'monument', 'year 1746', 'washing in a stream', 'cliffhanger', 'nailed to a cross', 'man wears a tricorne', 'woman tells a dirty joke', 'campfire', 'jacobite', 'scars on back', 'lewdness', 'punch up', ""defending a woman's honor"", 'lawyer', 'crucifixion', 'reciting poetry', 'reference to bonnie prince charlie', 'asthmatic', 'river', 'flashback', 'warning', 'brawl', 'rent collector', 'urine', 'pig', 'bragging', 'singing', 'wool', 'scar', 'soldier', 'politics', 'patriotism', 'goat', 'urination', 'undressing']"
Outlander,The Garrison Commander,[],TV-MA,Release date,"['mounted soldier', 'british army', 'claret', 'venison', 'rudeness', 'amputation', 'shaving someone', 'bare chested male', 'straight razor', 'repeated scene from a previous episode', 'hitting a woman', 'blackness castle', 'back shredded by flogging', 'soldier fainting', 'punched in the belly', 'kicked while down', 'riding at a gallop', 'marriage contract', 'virgin', 'kicking a woman', 'garrison', 'undercover', 'dinner', 'flogging', 'lie', 'interrogation', 'flashback', 'man hits a woman', 'whipping', 'whip', 'torture', 'punishment', 'public humiliation', 'kneeling', 'corporal punishment', 'abuse', 'beating', ""cat o' nine tails"", 'misogynist', 'misogyny']"
Outlander,The Wedding,[],TV-MA,Release date,"['breasts', 'female rear nudity', 'female nudity', 'marriage', 'virgin', 'title directed by female', 'told in flashback', 'husband wife relationship', 'adult virgin', 'reference to the epistle to the romans', 'reference to first timothy', 'bible quote', 'wedding ring', 'episode title spoken by narrator', 'wedding', 'wedding night', 'wedding day', 'newlywed couple', 'wedding party', 'undressing', 'ritual', 'male nudity', 'rear nudity', 'sex scene', 'in laws', 'bed', 'infidelity', 'bare chested male', 'woman consents', 'loss of virginity', 'adultery', 'bigamy', 'male virgin', 'breast fondling', 'consummation']"
Outlander,Both Sides Now,[],TV-MA,Release date,"['female rear nudity', 'forced to watch rape', 'rape', 'woman murders a man', 'title directed by female', 'bound with rope', 'caught in a lie', 'throat slit', 'stabbed in the back', 'killing in self defense', 'wife raped in front of husband', 'stabbed to death', 'woman stabs a man', 'ambush', 'search for a missing person', 'newlywed couple', 'sex scene', 'interrupted sex', 'cliffhanger ending', 'blouse ripped open']"
Outlander,The Reckoning,[],TV-MA,Release date,"['attempted rape', 'husband wife relationship', 'wife in jeopardy', 'woman in jeopardy', 'rescue', 'punishment', 'knife held to throat', 'makeup sex', 'propositioned for sex', 'hit with a belt', 'rescue mission', 'bag of gold', 'marital argument', 'sex scene', 'whip', 'scolding', 'spanking', 'rear nudity', 'corporal punishment', 'contraband', 'beating', 'abuse', 'starz']"
Outlander,By the Pricking of My Thumbs,[],TV-MA,Release date,"['body part in title', 'woman slaps a woman', 'slapped in the face', 'pagan ritual', 'pagan', 'pregnant woman', 'secret pregnancy', 'dead baby', 'three against one', 'sword fight', 'murder by poisoning', 'poisoned to death', 'petition', 'cyanide poisoning', 'exile', 'murder disguised as accident', 'title based on shakespeare', 'female rear nudity', 'wife murders her husband', 'murderess', 'duke', 'lawyer', 'duel', 'gambling', 'oral sex', ""reference to shakespeare's macbeth"", 'aristocrat', 'sword', 'scolding', 'party', 'medical examination', 'fight', 'bare chested male', 'dinner']"
Outlander,The Devil's Mark,[],TV-MA,Release date,"['female topless nudity', 'suspected witch', 'court trial', 'lawyer', 'guilty verdict', 'secret revealed', 'sentenced to death', 'self sacrifice', 'courtroom', 'reference to the devil', 'stone circle', 'defendant', 'capital punishment', 'testifying in court', 'trial', 'rescue', 'poison', 'kiss', 'theft', 'kneeling', 'sex scene', 'prison', 'punishment', 'cage']"
Outlander,Lallybroch,[],TV-MA,Release date,"['attempted rape', 'brother sister relationship', 'false accusation', 'hiding underwater', 'water wheel', 'family home', 'return home', 'rent money', 'episode title spoken by character', 'told in flashback', 'lashing', 'dropping dead', ""visiting father's grave"", 'visiting a grave', 'hangover', 'child abuse', 'brother sister conflict', 'death of father', 'male nudity', 'male frontal nudity', 'male full frontal nudity', 'penis', 'close up penis', 'close up of a penis', 'pubic hair', 'male pubic hair', 'male masturbation', 'erectile dysfunction', 'closeted homosexual']"
Outlander,The Watch,[],TV-MA,Release date,"['episode title spoken by character', 'stabbed in the back', 'murder', 'unwanted guest', 'killed by sword', 'fire', 'ambush', 'in laws', 'blackmail', 'boy']"
Outlander,The Search,[],TV-MA,Release date,"['milking a female breast', 'fortune teller', 'double cross', 'nudity', 'gypsy', 'campfire', 'sword dance', 'courier', 'rescue', 'medicine', 'healer', 'letter', 'english soldier', 'british officer', 'milk', 'bracelet', 'tusk', 'torture', 'track', 'tracking', 'gold', 'singing', 'dancing']"
Outlander,Wentworth Prison,[],TV-MA,Release date,"['homosexual', 'execution', 'noose', 'prison cell', 'prisoner', 'blood', 'sadomasochism', 'rescue', 'torture', 'violence', 'sadistic cruelty', 'sadist', 'gore', 'kiss', 'escape from prison', 'title directed by female', 'gallows', 'handcuffs', 'soldier', 'uniform', 'rider', 'chain', 'torch', 'personal belongings', 'vomiting', 'playing dice', 'hammer', 'sniffing', 'nail', 'scar', 'scottish', 'fight', 'male rape', 'rape', 'hanging', 'hand injury']"
Outlander,To Ransom a Man's Soul,[],TV-MA,Release date,"['male nudity', 'male full frontal nudity', 'torture', 'rape', 'rape victim', 'branding', 'psychological torture', 'suffering', 'cattle', 'male rape', 'male pubic hair', ""spitting in someone's face"", 'title directed by female', 'male frontal nudity', 'pubic hair', 'fire', 'boat', 'crying', 'stitching', 'castle', 'nurse', 'cruelty', 'blood', 'delirium']"
Bad Teacher,Pilot,[],TV-14,Release date,[]
Bad Teacher,Daddy Issues,[],TV-14,Release date,[]
Bad Teacher,Evaluation Day,[],TV-PG,Release date,[]
Bad Teacher,Fieldtrippers,[],TV-14,Release date,[]
Bad Teacher,The 6th Grade Lock-In,[],TV-14,Release date,[]
Bad Teacher,Yearbook,[],TV-14,Release date,[]
Acapulco H.E.A.T.,Code Name: Checkmate - Part 1,[],TV-14,Release date,"['carnivale', 'chauffeured limousine', 'kennedy half dollar', 'zip line', 'explosion', 'clothes on fire', 'red humvee', 'beach ball', 'blue carnation', 'costumed killer', 'man wears a tuxedo', 'woman dances in a bikini', 'woman wears a one piece swimsuit', 'woman wears a thong', 'knockout gas', 'rio de janeiro brazil', 'mardi gras', 'limousine', 'kidnapping', 'assassination plot']"
Acapulco H.E.A.T.,Code Name: Checkmate - Part 2,[],TV-14,Release date,"['princess', 'kidnapping', 'conference', 'assassin', 'terrorist', 'hotel']"
Acapulco H.E.A.T.,Code Name: Honeymoon Lost,[],TV-14,Release date,"['honeymoon', 'murder plot', 'hitlist', 'bullfight', 'brainwashing', 'beach volleyball']"
Acapulco H.E.A.T.,Code Name: Strange Bedfellow,[],TV-14,Release date,"['resort hotel', 'nuclear bomb', 'mercenary', 'honeymoon', 'covert operation', 'black market']"
Acapulco H.E.A.T.,Code Name: Million Dollar Ladies (a.k.a. Vanished),[],TV-14,Release date,"['white slavery', 'jealousy']"
Acapulco H.E.A.T.,Feminine Intuition,[],TV-14,Release date,"['judge', 'drug lord', 'columbia', 'mercenary', 'female agent', 'bet', 'assassination plot', 'title spoken by character']"
Acapulco H.E.A.T.,Code Name: Desert Dragon,[],TV-14,Release date,"['uzi', 'exploding car', 'karate', 'treaty', 'tournament', 'terrorist', 'tel aviv israel', 'assassination']"
Acapulco H.E.A.T.,Code Name: Archangel,[],TV-14,Release date,"['neo nazi', 'reference to adolf hitler', 'religious rite', 'painting', 'convention', 'catholic church', 'art theft']"
Acapulco H.E.A.T.,Code Name: Arabesque,[],TV-14,Release date,"['undercover', 'drug cartel', 'tied up', 'rescue', 'heroin', 'female agent', 'cayman islands', 'blackmail']"
Acapulco H.E.A.T.,Code Name: Body Double,[],TV-14,Release date,"['terrorist', 'kidnapping', 'undercover', 'resort hotel', 'caribbean']"
Acapulco H.E.A.T.,Code Name: Perfect Specimen,[],TV-14,Release date,"['genetic', 'soldier', 'genetic engineering', 'laboratory', 'secret laboratory', 'scientist', 'mad scientist', 'evil scientist', 'exploding car', 'venezuela', 'superhuman strength', 'island', 'genetic experimentation', 'casino', 'biochemistry']"
Acapulco H.E.A.T.,Code Name: Easy Riders,[],TV-14,Release date,"['doctor', 'nun', 'motorcycle', 'kidnapping', 'fugitive', 'enduce labor', 'black market', 'bail jumper', 'baby selling', 'ambulance']"
Acapulco H.E.A.T.,Code Name: Rip van Winkle,[],TV-14,Release date,"['spy', 'tied up', 'retirement home', 'murder', 'closet']"
Acapulco H.E.A.T.,Code Name: The Stalking Horse,[],TV-14,Release date,"['defector', 'resort hotel', 'assassination plot', 'airport', 'title spoken by character']"
Acapulco H.E.A.T.,Code Name: Frame-Up,[],TV-14,Release date,"['gunrunner', 'panama', 'framed for murder', 'drugged drink', 'drug deal']"
Acapulco H.E.A.T.,Code Name: Ghosts,[],TV-14,Release date,"['police officer', 'island', 'cia agent', 'bazooka', 'exploding truck', 'gunrunner', 'scotland yard', 'revenge', 'detective']"
Acapulco H.E.A.T.,Code Name: Stranded,[],TV-14,Release date,"['vietnam war veteran', 'island', 'spider', 'exploding building', 'search', 'marooned', 'snake', 'tarantula', 'spider bite', 'ex soldier', 'boa constrictor']"
Acapulco H.E.A.T.,Code Name: Shamrock,[],TV-14,Release date,"['childhood friend', 'terrorist plot', 'terrorist group', 'bomb', 'explosion', 'detonator']"
Acapulco H.E.A.T.,Code Name: Stalemate - Part 1,[],TV-14,Release date,['chess']
Acapulco H.E.A.T.,Code Name: Stalemate: Part 2,[],TV-14,Release date,"['gunfight', 'shootout', 'gun battle', 'boat chase', 'exploding boat']"
Acapulco H.E.A.T.,Code Name: Deep Six,[],TV-14,Release date,[]
Acapulco H.E.A.T.,Code Name: Assassin,[],TV-14,Release date,[]
Ice Pilots NWT,Buffalo Air,[],TV-PG,Release date,[]
Ice Pilots NWT,Pre-Christmas Rush,[],TV-14,Release date,[]
Ice Pilots NWT,Birthday from Hell,[],TV-14,Release date,[]
Ice Pilots NWT,A Big Deal,[],TV-14,Release date,[]
Ice Pilots NWT,40/40/40,[],TV-14,Release date,[]
Ice Pilots NWT,On the Move,[],TV-14,Release date,[]
Ice Pilots NWT,Suspension,[],TV-14,Release date,[]
Ice Pilots NWT,Cause for Celebration,[],TV-14,Release date,[]
Ice Pilots NWT,Transatlantic Crossing,[],TV-14,Release date,[]
Ice Pilots NWT,Thin Ice,[],TV-14,Release date,[]
Ice Pilots NWT,The Crash,[],TV-14,Release date,[]
Ice Pilots NWT,Change of Seasons,[],TV-14,Release date,[]
Ice Pilots NWT,Up in the Air,[],TV-14,Release date,[]
My 600-lb Life,Melissa's Story,[],TV-PG,Release date,[]
My 600-lb Life,Melissa's Story Part 2,[],TV-PG,Release date,[]
My 600-lb Life,Donald's Story,[],TV-PG,Release date,[]
My 600-lb Life,Henry's Story,[],TV-PG,Release date,[]
My 600-lb Life,Ashley's Story,[],TV-PG,Release date,[]
My 600-lb Life,Where Are They Now?,[],TV-14,Release date,[]
Guillermo del Toro's Cabinet of Curiosities,Lot 36,[],TV-MA,Release date,"['storage locker', 'demonic possession', 'storage unit auction', 'antiques', 'loan shark', 'book of sorcery', 'hidden door', 'secret room', 'demonic entity', 'storage unit', 'debt', 'security camera footage', 'war veteran', 'debt collector', 'seance table', 'occult', 'occultism', 'occult book', 'demon', 'narrator introduction', 'comeuppance', 'slave to a demon', 'anthology series', 'presidential address', 'reference to the persian gulf war', 'butchering an animal', 'sudden death', 'talk radio', 'white supremacist', 'country music', 'pickup truck', 'bolt cutter', 'auctioneer', 'surveillance-video', 'hopping', 'jerk', 'racism', 'lights go out', 'three branch candelabra', 'photo album', 'nazi soldiers', 'pentagram', 'hit in the head', 'smashed windshield', 'f bomb', 'duct tape', 'reference to a seance', 'human hair', 'horrible smell', 'running away in terror']"
Guillermo del Toro's Cabinet of Curiosities,Graveyard Rats,[],TV-MA,Release date,"['grave robber', 'decomposing corpse', 'rat infestation', 'jewelry', 'sword', 'narrator introduction', 'held at gunpoint', 'warning shot', 'trick', 'pulling teeth from corpse', 'gold tooth', 'bitten by a rat', 'early 20th century', 'morgue', 'nude dead bodies', 'spiral staircase', 'headless corpse', 'death of husband', 'massachusetts', 'cross on a wall', 'ceiling collapse', 'man in a coffin', 'funeral', 'camera shot from inside a grave', 'missing body', 'body dragged from a grave', 'tunnel', 'claustrophobia', 'trapped in a cave', 'reference to king george v', '1911 colt pistol', 'shooting a rat', 'giant rat', 'pile of bones', 'amulet', 'reanimated corpse', 'skeleton man', 'light at the end of the tunnel', 'rat in mouth of dead body', 'graveyard', 'rat', 'grave', 'grave robbing', 'dead body', 'cemetery', 'corpse', 'opening a grave', 'tooth pulling', 'pulling tooth', 'coffin']"
Guillermo del Toro's Cabinet of Curiosities,The Autopsy,[],TV-MA,Release date,"['lovecraftian', 'coroner', 'autopsy', 'alien entity', 'alien possession', 'alien parasite', 'coal mine', 'sheriff', 'dead body', 'coal miner', 'stomach cancer', 'possessed by an alien', 'self sacrifice', 'deafening oneself', 'blinding oneself', 'naked corpse', 'pubic hair', 'naked male corpse', 'self mutilation', 'mysterious man', 'spiders', 'bomb', 'missing person poster', 'greyhound bus', 'missing people', 'dead body in a tree', 'tavern', 'pretending to be someone else', 'mind control', 'crime scene photo', 'meteor shower', 'pennsylvania', 'manhunt', 'explosion', 'shrouded corpse', 'reel to reel tape recorder', 'human autopsy', 'toe tag', 'dead man rises', 'y incision', 'bodily possession', 'stabbed in the eye', 'stabbed in the ear', 'comeuppance', 'nudity', 'forensic pathologist', 'terminal cancer', 'small town', 'missing person', 'mining accident']"
Guillermo del Toro's Cabinet of Curiosities,The Outside,[],TV-MA,Release date,"['outsider', 'cosmetics', 'allergic reaction', 'skin lotion', 'skin irritation', 'beauty treatment', 'bank teller', 'christmas', 'taxidermy', 'female nudity', 'female rear nudity', 'stuffed duck', 'moisturizer', 'winter', 'infomercial', 'delusion', 'scratching skin', ""killing one's boyfriend"", 'killed with an axe', 'stabbed in the forehead', 'boyfriend girlfriend relationship', 'stabbed with a scalpel', 'hit with an axe', 'axe in the back', 'gutting a man', 'nudity', 'montage', 'rear nudity', 'christmas party', 'watching tv', 'basement', 'telephone call', 'police officer', 'secret santa', 'shooting a duck', '1980s', 'title directed by female', 'singing in a car', 'singing along to music on a car radio', 'female taxidermist', 'tv dinner', 'microwave', 'camera shot from inside a microwave oven', 'body transformation', 'wife kills husband', 'human taxidermy', 'talking to a tv']"
Guillermo del Toro's Cabinet of Curiosities,Pickman's Model,[],TV-MA,Release date,"['painter', 'artist', 'painting', 'new england', 'cemetery', 'graveyard', 'driven insane', 'nightmare', 'female nudity', 'female topless nudity', 'sketching', 'posing naked', 'massachusetts', 'garden party', 'fictional town', 'fictional university', 'university student', 'art student', 'life model', 'art class', 'card game', 'cat carcass', 'sketchbook', 'art competition', 'throwing up', 'flashback', 'year 1926', 'husband wife relationship', 'throat sawn open', 'turpentine', 'shot to death', 'shot in the chest', 'setting a fire', 'art exhibition', 'killing own child', 'gouging own eye out', 'severed head', 'male nudity', 'nudity', 'dream sequence', 'missing person', 'rear nudity', '1910s', '1920s']"
Guillermo del Toro's Cabinet of Curiosities,Dreams in the Witch House,[],TV-MA,Release date,"['painter', 'massachusetts', 'new england', 'spiritualism', 'loss of sister', 'year 1933', 'loss of twin', 'death of twin sister', 'grieving brother', 'trapped soul', 'brother sister relationship', 'witch', 'twins', 'twin brother and sister', 'artist', 'painting', 'flashback', 'voice over narration', 'spiritualist', 'public seance', 'ectoplasm', 'ley line', 'medium', 'bartender', 'paranormal research', 'paranormal investigation', 'opium den', 'native american', 'drug trip', 'other dimensions', 'drug use', 'church', 'nun', 'holy ground', 'stabbed in the eye', 'attic', 'chest burst', 'human remains', 'skeleton', 'bar', '1930s', 'title directed by female']"
Guillermo del Toro's Cabinet of Curiosities,The Viewing,[],TV-MA,Release date,"['drug use', 'invitation', 'year 1979', 'scientist', 'smoking marijuana', 'cocaine', 'alien lifeform', '1970s', 'parking structure', 'van', 'cigarette smoking', 'reclusive millionaire', 'giving an injection', 'brutalist architecture', 'tumbler', 'whiskey', 'japanese single malt whisky', 'whisky', 'novelist', 'astrophysicist', 'music producer', 'spliff', 'personal physician', 'psychic', 'snorting cocaine', 'cocaine use', 'joint', 'high pitched sound', 'nose bleeding', 'melting face', 'exploding head', 'ak 47', 'kalashnikov', 'golden gun', 'assault rifle', 'reflection in water', 'sports car', 'drain pipe', 'female scientist', 'reference to muammar gaddafi', 'reference to jimmy carter', 'reference to the aztecs']"
Guillermo del Toro's Cabinet of Curiosities,The Murmuring,[],TV-MA,Release date,"['husband wife relationship', 'researcher', 'island', 'bird watching', 'flock of birds', 'married couple', 'nova scotia canada', 'grieving parents', 'haunted house', 'ornithologist', 'ornithology', 'lake house', 'secluded house', 'grieving parent', 'grieving for lost child', 'frigid wife', 'ghost', 'drowned boy', 'lake', 'attic', 'lecture', 'female scientist', 'year 1951', 'scientific research', 'snoring', 'tape recording', 'letter', 'woman in bath', 'canada', '1950s']"
Battle of the Planets,Attack of the Space Terrapin,[],TV-Y7,Release date,[]
Battle of the Planets,Rescue of the Astronauts,[],TV-Y7,Release date,[]
Battle of the Planets,The Space Mummy,[],TV-Y7,Release date,"['airport', 'giant mummy', 'uncle nephew relationship', 'son looking for missing father', ""impersonating someone's father""]"
Battle of the Planets,The Space Serpent,[],TV-Y7,Release date,[]
Battle of the Planets,Ghost Ship from Planet Mir,[],TV-Y7,Release date,[]
Battle of the Planets,Big Robot Gold Grab,[],TV-Y7,Release date,['robot']
